date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:54:13	1884/1884	---M--	200	added ('OK')	image/png	etag:%2275c-601dfa3690231%22	https://interportglobal.com/img/icons/services-icons/warehouse_management/controlled-enter-n-exit.png	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/icons/services-icons/warehouse_management/controlled-enter-n-exit.png	(from https://interportglobal.com/3pl-warehousing.php)
17:54:13	2068/2068	---M--	200	added ('OK')	image/png	etag:%22814-601dfa36a699a%22	https://interportglobal.com/img/icons/services-icons/warehouse_management/icd-warehouse.png	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/icons/services-icons/warehouse_management/icd-warehouse.png	(from https://interportglobal.com/3pl-warehousing.php)
17:54:14	2890/2890	---M--	200	added ('OK')	image/png	etag:%22b4a-601dfa36b63a0%22	https://interportglobal.com/img/icons/services-icons/warehouse_management/insured-n-private.png	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/icons/services-icons/warehouse_management/insured-n-private.png	(from https://interportglobal.com/3pl-warehousing.php)
17:54:14	10720/10720	---M--	200	added ('OK')	image/png	etag:%2229e0-601dfa3690231%22	https://interportglobal.com/img/icons/services-icons/warehouse_management/footprint.png	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/icons/services-icons/warehouse_management/footprint.png	(from https://interportglobal.com/3pl-warehousing.php)
17:54:14	8334/8334	---M--	200	added ('OK')	image/png	etag:%22208e-601dfa3574e7e%22	https://interportglobal.com/img/icons/services-icons/ocean-freight/modern-facilities.png	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/icons/services-icons/ocean-freight/modern-facilities.png	(from https://interportglobal.com/custom-brokerage.php)
17:54:14	4625/4625	---M--	200	added ('OK')	image/png	etag:%221211-601dfa3539546%22	https://interportglobal.com/img/icons/services-icons/ocean-freight/door-to-door.png	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/icons/services-icons/ocean-freight/door-to-door.png	(from https://interportglobal.com/custom-brokerage.php)
17:54:15	3110/3110	---M--	200	added ('OK')	image/png	etag:%22c26-601dfa32f81fd%22	https://interportglobal.com/img/icons/services-icons/hazardous_cargo/expert_handling.png	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/icons/services-icons/hazardous_cargo/expert_handling.png	(from https://interportglobal.com/hazardous-cargo.php)
17:54:15	3945/3945	---M--	200	added ('OK')	image/png	etag:%22f69-601dfa32fb0df%22	https://interportglobal.com/img/icons/services-icons/hazardous_cargo/commitment_to_safety.png	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/icons/services-icons/hazardous_cargo/commitment_to_safety.png	(from https://interportglobal.com/hazardous-cargo.php)
17:54:15	3454/3454	---M--	200	added ('OK')	image/png	etag:%22d7e-601dfa3311848%22	https://interportglobal.com/img/icons/services-icons/hazardous_cargo/multimodel_shipping.png	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/icons/services-icons/hazardous_cargo/multimodel_shipping.png	(from https://interportglobal.com/hazardous-cargo.php)
17:54:16	7953/7953	---M--	200	added ('OK')	image/png	etag:%221f11-601dfa332318f%22	https://interportglobal.com/img/icons/services-icons/hazardous_cargo/safe-storage-passage.png	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/icons/services-icons/hazardous_cargo/safe-storage-passage.png	(from https://interportglobal.com/hazardous-cargo.php)
17:54:16	8266/8266	---M--	200	added ('OK')	image/png	etag:%22204a-601dfa331b48c%22	https://interportglobal.com/img/icons/services-icons/hazardous_cargo/package-repacking.png	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/icons/services-icons/hazardous_cargo/package-repacking.png	(from https://interportglobal.com/hazardous-cargo.php)
17:54:16	4504/4504	---M--	200	added ('OK')	image/png	etag:%221198-601dfa3306c63%22	https://interportglobal.com/img/icons/services-icons/hazardous_cargo/full-compliance.png	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/icons/services-icons/hazardous_cargo/full-compliance.png	(from https://interportglobal.com/hazardous-cargo.php)
17:54:16	5521/5521	---M--	200	added ('OK')	image/png	etag:%221591-601dfa3585825%22	https://interportglobal.com/img/icons/services-icons/ocean-freight/requirement-analysis.png	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/icons/services-icons/ocean-freight/requirement-analysis.png	(from https://interportglobal.com/project-cargo.php)
17:54:17	4147/4147	---M--	200	added ('OK')	image/png	etag:%221033-601dfa3547fac%22	https://interportglobal.com/img/icons/services-icons/ocean-freight/full-range-equipments.png	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/icons/services-icons/ocean-freight/full-range-equipments.png	(from https://interportglobal.com/heavy-lift.php)
17:54:17	5313/5313	---M--	200	added ('OK')	image/png	etag:%2214c1-601dfa355b834%22	https://interportglobal.com/img/icons/services-icons/ocean-freight/heavy-cargo-experts.png	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/icons/services-icons/ocean-freight/heavy-cargo-experts.png	(from https://interportglobal.com/heavy-lift.php)
17:54:17	2329/2329	---M--	200	added ('OK')	image/png	etag:%22919-601dfa32a133a%22	https://interportglobal.com/img/icons/services-icons/door_to_door-program/delivered.png	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/icons/services-icons/door_to_door-program/delivered.png	(from https://interportglobal.com/door-to-door-program.php)
